true	pred	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
0	0	0	15942	15055	15186	15420	15533	15431	15389	15267	15342	15289	15157	15043	15141	15181	15285	15192	15154	15189	15134	15021	15142	15151	15021	15034	14947	15179	15022	14980	14962	15009	14372	14346	14203	14324	14381	14437	14395	14326	14184	14333	14254	14178	14047	14089	14130	14196	14114	14101	14116	14029	13976	14050	14046	13944	13941	13861	14060	13910	13838	13868	13880	13808	0
0	1	0	2	6	7	0	3	2	3	3	4	3	1	2	2	3	2	0	4	2	7	0	3	5	5	2	2	2	2	4	1	4	6	0	3	2	0	2	2	2	2	0	4	2	2	0	5	2	0	5	1	6	0	3	2	4	1	3	1	3	3	1	3	6	0
0	2	0	0	0	1	1	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	1	2	1	2	0	2	3	1	0	3	1	2	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	2	0	1	3	2	0	4	1	2	0
0	3	0	0	1	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0	7	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	0	0	6	4	6	3	4	1	4	6	3	2	1	7	2	4	6	5	3	4	1	2	1	4	2	3	4	1	2	3	3	5	6	3	2	5	3	3	0	3	6	2	0	0	7	4	5	7	3	2	4	1	2	1	3	1	3	4	2	2	4	5	8	9	0
1	1	0	35	38	38	39	33	27	37	38	43	54	30	46	39	32	39	46	39	42	37	41	51	48	30	45	40	45	33	47	38	57	34	39	37	41	39	33	25	40	36	47	58	30	45	35	32	36	46	38	40	38	42	53	46	31	43	42	42	31	38	37	52	27	0
1	2	0	3	3	0	1	2	2	0	1	3	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	1	0
1	3	0	2	1	3	1	0	0	3	0	2	3	1	1	0	2	0	1	0	3	2	2	1	1	2	0	1	0	1	1	2	1	1	2	3	2	1	0	1	0	1	0	1	0	1	2	1	0	1	0	1	1	1	0	2	2	0	0	0	0	1	2	1	0	0
1	4	0	1	0	1	0	0	0	0	0	1	2	0	3	2	1	2	0	0	0	1	0	2	1	1	3	3	0	2	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	2	2	0	3	0	0	0	1	0
1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
2	0	0	1	0	1	2	3	1	0	1	0	0	1	0	2	0	0	1	1	1	4	0	0	0	1	1	1	0	1	1	0	2	0	1	0	1	0	4	1	1	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0	1	1	1	0	1	2	0	3	4	0
2	1	0	2	2	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	3	1	0	0	0	0	0	1	0	1	0	0	0	2	1	2	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	3	2	0	0	2	0	0
2	2	0	51	32	23	18	31	38	24	37	29	36	28	30	36	34	28	28	29	32	42	32	17	31	27	20	23	22	29	42	27	30	28	26	26	24	19	28	37	19	34	30	33	26	28	30	35	30	25	26	28	37	32	18	30	24	17	22	19	26	36	23	24	22	0
2	3	0	1	3	3	2	4	3	2	4	1	4	1	1	3	6	2	2	0	1	1	4	1	2	2	1	5	1	1	2	0	5	2	3	2	2	0	3	2	2	6	1	3	1	1	3	4	1	2	1	1	0	3	1	2	2	2	4	4	1	2	1	5	3	0
